,Review,sentiment
0,One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right as this is exactly what happened with me.The first thing that struck me about Oz was its brutality and unflinching scenes of violence which set in right from the word GO. Trust me this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs sex or violence. Its is hardcore in the classic use of the word.It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City an experimental section of the prison where all the cells have glass fronts and face inwards so privacy is not high on the agenda. Em City is home to many..Aryans Muslims gangstas Latinos Christians Italians Irish and more....so scuffles death stares dodgy dealings and shady agreements are never far away.I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences forget charm forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal I couldn't say I was ready for it but as I watched more I developed a taste for Oz and got accustomed to the high levels of graphic violence. Not just violence but injustice crooked guards who'll be sold out for a nickel inmates who'll kill on order and get away with it well mannered middle class inmates being turned into prison bitches due to their lack of street skills or prison experience Watching Oz you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.,positive
1,A wonderful little production. The filming technique is very unassuming very oldtimeBBC fashion and gives a comforting and sometimes discomforting sense of realism to the entire piece. The actors are extremely well chosen Michael Sheen not only has got all the polari but he has all the voices down pat too You can truly see the seamless editing guided by the references to Williams' diary entries not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. The realism really comes home with the little things the fantasy of the guard which rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses particularly with the scenes concerning Orton and Halliwell and the sets particularly of their flat with Halliwell's murals decorating every surface are terribly well done.,positive
2,I thought this was a wonderful way to spend time on a too hot summer weekend sitting in the air conditioned theater and watching a lighthearted comedy. The plot is simplistic but the dialogue is witty and the characters are likable even the well bread suspected serial killer. While some may be disappointed when they realize this is not Match Point 2 Risk Addiction I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.This was the most I'd laughed at one of Woody's comedies in years dare I say a decade. While I've never been impressed with Scarlet Johanson in this she managed to tone down her sexy image and jumped right into a average but spirited young woman.This may not be the crown jewel of his career but it was wittier than Devil Wears Prada and more interesting than Superman a great comedy to go see with friends.,positive
3,Basically there's a family where a little boy Jake thinks there's a zombie in his closet  his parents are fighting all the time.This movie is slower than a soap opera... and suddenly Jake decides to become Rambo and kill the zombie.OK first of all when you're going to make a film you must Decide if its a thriller or a drama As a drama the movie is watchable. Parents are divorcing  arguing like in real life. And then we have Jake with his closet which totally ruins all the film I expected to see a BOOGEYMAN similar movie and instead i watched a drama with some meaningless thriller spots.3 out of 10 just for the well playing parents  descent dialogs. As for the shots with Jake just ignore them.,negative
4,Petter Mattei's Love in the Time of Money is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money power and success do to people in the different situations we encounter. This being a variation on the Arthur Schnitzler's play about the same theme the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way or another to the next person but no one seems to know the previous point of contact. Stylishly the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment as one discerns is the case with most of the people we encounter.The acting is good under Mr. Mattei's direction. Steve Buscemi Rosario Dawson Carol Kane Michael Imperioli Adrian Grenier and the rest of the talented cast make these characters come alive.We wish Mr. Mattei good luck and await anxiously for his next work.,positive
5,Probably my alltime favorite movie a story of selflessness sacrifice and dedication to a noble cause but it's not preachy or boring. It just never gets old despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes and Bette Davis in one of her very few truly sympathetic roles is a delight. The kids are as grandma says more like dressedup midgets than children but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs they'd all be up for this movie.,positive
6,I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoints about TV and the many movies.So any ole way I believe I've got what I wanna say.Would be nice to read some more plus points about sea hunt.If my rhymes would be 10 lines would you let me submitor leave me out to be in doubt and have me to quitIf this is so then I must go so lets do it.,positive
7,This show was an amazing fresh  innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant but things dropped off after that. By 1990 the show was not really funny anymore and it's continued its decline further to the complete waste of time it is today.It's truly disgraceful how far this show has fallen. The writing is painfully bad the performances are almost as bad  if not for the mildly entertaining respite of the guesthosts this show probably wouldn't still be on the air. I find it so hard to believe that the same creator that handselected the original cast also chose the band of hacks that followed. How can one recognize such brilliance and then see fit to replace it with such mediocrity I felt I must give 2 stars out of respect for the original cast that made this show such a huge success. As it is now the show is just awful. I can't believe it's still on the air.,negative
8,Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950 films and this is truly one of the worst of them  it's awful in almost every way editing pacing storyline 'acting' soundtrack the film's only song  a lame country tune  is played no less than four times. The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. The only thing that prevents me giving this a 1score is Harvey Keitel  while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.,negative
9,If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie hell even my mom liked it.Great Camp,positive
